,customerkey,gender,name,city,state_code,state,zip_code,country,continent,birthday,order_number,line_item,order_date,delivery_date,storekey,productkey,quantity,currency_code,date,currency,exchange,product_name,brand,color,unit_cost_usd,unit_price_usd,subcategorykey,subcategory,categorykey,category,square_meters,open_date
790,435228,Male,Jens Faust,Suhl,TH,Freistaat Thüringen,98527,Germany,Europe,1937-01-12,1265006,4,2018-06-18,Not Delivered,22,409,1,EUR,2018-06-18,EUR,0.8611,Proseware Laptop8.9 E089 Black,Proseware,Black,166.2,326.0,301,Laptops,3,Computers,2000.0,2008-03-06
791,549766,Female,Johanna Nacht,Schiffweiler,TH,Freistaat Thüringen,66573,Germany,Europe,1939-01-16,390005,1,2016-01-25,Not Delivered,22,1558,3,EUR,2016-01-25,EUR,0.9246,The Phone Company PDA Wifi 4.7-inch L290 White,The Phone Company,White,125.9,380.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2008-03-06
792,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,595006,2,2016-08-17,Not Delivered,22,1794,1,EUR,2016-08-17,EUR,0.8868,MGS Zoo Tycoon Complete Collection2009 E150,Tailspin Toys,Silver,21.92,43.0,702,Download Games,7,Games and Toys,2000.0,2008-03-06
793,528022,Female,Anja Walter,Hermsdorf,TH,Freistaat Thüringen,7623,Germany,Europe,1974-02-28,1532011,4,2019-03-12,Not Delivered,22,1738,2,EUR,2019-03-12,EUR,0.8869,MGS Impossible Creatures E114,Tailspin Toys,Blue,14.28,28.0,702,Download Games,7,Games and Toys,2000.0,2008-03-06
794,515050,Male,Luca Klein,Weimar,TH,Freistaat Thüringen,99406,Germany,Europe,1938-10-11,1624024,3,2019-06-12,Not Delivered,22,2090,3,EUR,2019-06-12,EUR,0.8832,Contoso Water Heater 7.2GPM X1800 Blue,Contoso,Blue,488.7,1475.0,804,Water Heaters,8,Home Appliances,2000.0,2008-03-06
795,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,2088001,1,2020-09-18,Not Delivered,22,2055,5,EUR,2020-09-18,EUR,0.8451,Contoso Microwave 1.5CuFt X0110 White,Contoso,White,220.64,665.94,803,Microwaves,8,Home Appliances,2000.0,2008-03-06
796,590960,Male,Stephan Bohm,Dillingen,TH,Freistaat Thüringen,66763,Germany,Europe,1959-08-06,1695028,2,2019-08-22,Not Delivered,22,402,1,EUR,2019-08-22,EUR,0.9023,WWI Laptop19W X0196 Blue,Wide World Importers,Blue,430.38,1299.0,301,Laptops,3,Computers,2000.0,2008-03-06
797,486512,Female,Monika Mauer,Erfurt,TH,Freistaat Thüringen,99087,Germany,Europe,1997-11-14,1508040,5,2019-02-16,Not Delivered,22,402,5,EUR,2019-02-16,EUR,0.8881,WWI Laptop19W X0196 Blue,Wide World Importers,Blue,430.38,1299.0,301,Laptops,3,Computers,2000.0,2008-03-06
798,486512,Female,Monika Mauer,Erfurt,TH,Freistaat Thüringen,99087,Germany,Europe,1997-11-14,1508040,3,2019-02-16,Not Delivered,22,1570,6,EUR,2019-02-16,EUR,0.8881,The Phone Company PDA Palm 4.7 inch L850 White,The Phone Company,White,131.87,398.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2008-03-06
799,413607,Female,Karolin Nacht,St Wendel,TH,Freistaat Thüringen,66596,Germany,Europe,1964-12-28,1770023,1,2019-11-05,Not Delivered,22,129,2,EUR,2019-11-05,EUR,0.9002,"Adventure Works 20"" Analog CRT TV E45 Silver",Adventure Works,Silver,101.97,200.0,201,Televisions,2,TV and Video,2000.0,2008-03-06
800,405195,Male,Jürgen Walter,Merzig,TH,Freistaat Thüringen,66653,Germany,Europe,1995-04-09,1795031,3,2019-11-30,Not Delivered,22,1522,5,EUR,2019-11-30,EUR,0.9106,The Phone Company PDA Wifi 4.7-inch L290 Black,The Phone Company,Black,125.9,380.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2008-03-06
801,403323,Female,Monika Saenger,Georgenthal,TH,Freistaat Thüringen,99886,Germany,Europe,1989-06-21,1756004,1,2019-10-22,Not Delivered,22,557,3,EUR,2019-10-22,EUR,0.8985,Proseware Screen 125in X1609 White,Proseware,White,152.08,459.0,305,Projectors & Screens,3,Computers,2000.0,2008-03-06
802,524438,Female,Mandy Glockner,Altenburg,TH,Freistaat Thüringen,4590,Germany,Europe,1974-06-25,1627001,4,2019-06-15,Not Delivered,22,1791,2,EUR,2019-06-15,EUR,0.8877,MGS Kings & Myths: The Age Collection2009 E147,Tailspin Toys,Pink,21.92,43.0,702,Download Games,7,Games and Toys,2000.0,2008-03-06
803,470428,Female,Laura Daecher,Küllstedt,TH,Freistaat Thüringen,37356,Germany,Europe,1943-06-03,1874026,1,2020-02-17,Not Delivered,22,179,1,EUR,2020-02-17,EUR,0.9229,SV 16xDVD M300 Silver,Southridge Video,Silver,54.72,119.0,202,VCD & DVD,2,TV and Video,2000.0,2008-03-06
804,590960,Male,Stephan Bohm,Dillingen,TH,Freistaat Thüringen,66763,Germany,Europe,1959-08-06,1114014,3,2018-01-18,Not Delivered,22,949,2,EUR,2018-01-18,EUR,0.8173,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,A. Datum,Black,88.79,268.0,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
805,405195,Male,Jürgen Walter,Merzig,TH,Freistaat Thüringen,66653,Germany,Europe,1995-04-09,2054002,3,2020-08-15,Not Delivered,22,1701,1,EUR,2020-08-15,EUR,0.8465,SV Hand Games for 12-16 boys E60 Red,Southridge Video,Red,2.54,4.98,701,Boxed Games,7,Games and Toys,2000.0,2008-03-06
806,590960,Male,Stephan Bohm,Dillingen,TH,Freistaat Thüringen,66763,Germany,Europe,1959-08-06,1860008,1,2020-02-03,Not Delivered,22,795,3,EUR,2020-02-03,EUR,0.9037,Contoso Reserve Pen - Tablet Pen E200 White,Contoso,White,7.09,13.9,308,Computers Accessories,3,Computers,2000.0,2008-03-06
807,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,595006,1,2016-08-17,Not Delivered,22,1735,10,EUR,2016-08-17,EUR,0.8868,MGS Flight Simulator 2004: A Century of Flight E111,Tailspin Toys,Black,14.28,28.0,702,Download Games,7,Games and Toys,2000.0,2008-03-06
808,525719,Female,Franziska Kruger,Arnsgereuth,TH,Freistaat Thüringen,7318,Germany,Europe,1987-01-01,1103000,3,2018-01-07,Not Delivered,22,2133,1,EUR,2018-01-07,EUR,0.8302,Contoso Coffee Maker 4C E0800 White,Contoso,White,66.23,129.9,805,Coffee Machines,8,Home Appliances,2000.0,2008-03-06
809,447988,Female,Lisa Naumann,Gera,TH,Freistaat Thüringen,7546,Germany,Europe,1945-03-25,584007,2,2016-08-06,Not Delivered,22,2086,2,EUR,2016-08-06,EUR,0.8964,Contoso Water Heater 4.3GPM M1250 White,Contoso,White,403.53,877.5,804,Water Heaters,8,Home Appliances,2000.0,2008-03-06
810,493610,Male,Tom König,Illingen,TH,Freistaat Thüringen,66553,Germany,Europe,1949-01-24,1825012,1,2019-12-30,Not Delivered,22,1576,2,EUR,2019-12-30,EUR,0.8937,SV DVD Movies E100 Yellow,Southridge Video,Yellow,6.62,12.99,602,Movie DVD,6,"Music, Movies and Audio Books",2000.0,2008-03-06
811,542584,Female,Kathrin Schroeder,Lichte,TH,Freistaat Thüringen,98739,Germany,Europe,1966-04-03,1708033,5,2019-09-04,Not Delivered,22,477,3,EUR,2019-09-04,EUR,0.9076,Proseware LCD22 M2000 White,Proseware,White,205.09,619.0,304,Monitors,3,Computers,2000.0,2008-03-06
812,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,595006,5,2016-08-17,Not Delivered,22,810,3,EUR,2016-08-17,EUR,0.8868,Contoso Car power adapter M90 Grey,Contoso,Grey,9.17,19.95,308,Computers Accessories,3,Computers,2000.0,2008-03-06
813,580116,Female,Marie Schultz,Hildburghausen,TH,Freistaat Thüringen,98642,Germany,Europe,1982-12-09,1627005,1,2019-06-15,Not Delivered,22,366,3,EUR,2019-06-15,EUR,0.8877,Adventure Works Laptop15.4W M1548 Black,Adventure Works,Black,348.58,758.0,301,Laptops,3,Computers,2000.0,2008-03-06
814,515050,Male,Luca Klein,Weimar,TH,Freistaat Thüringen,99406,Germany,Europe,1938-10-11,1624024,4,2019-06-12,Not Delivered,22,867,4,EUR,2019-06-12,EUR,0.8832,Contoso Wireless Laser Mouse M55 White,Contoso,White,32.19,69.99,308,Computers Accessories,3,Computers,2000.0,2008-03-06
815,458548,Female,Anna Barth,Merzig,TH,Freistaat Thüringen,66663,Germany,Europe,1984-05-28,1956008,1,2020-05-09,Not Delivered,22,1314,1,EUR,2020-05-09,EUR,0.9223,Contoso Conversion Lens M550 Silver,Contoso,Silver,94.27,205.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,2000.0,2008-03-06
816,569079,Male,Dennis Busch,Jena,TH,Freistaat Thüringen,7708,Germany,Europe,1936-04-28,1828054,2,2020-01-02,Not Delivered,22,1541,4,EUR,2020-01-02,EUR,0.8934,The Phone Company PDA Phone 3.5 inches M320 Silver,The Phone Company,Silver,137.5,299.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2008-03-06
817,525719,Female,Franziska Kruger,Arnsgereuth,TH,Freistaat Thüringen,7318,Germany,Europe,1987-01-01,1103000,1,2018-01-07,Not Delivered,22,1034,3,EUR,2018-01-07,EUR,0.8302,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum,Azure,96.08,290.0,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
818,417535,Male,Ralph Eberhardt,Jena,TH,Freistaat Thüringen,7749,Germany,Europe,1969-06-19,1812029,3,2019-12-17,Not Delivered,22,1208,3,EUR,2019-12-17,EUR,0.8959,Fabrikam Business Videographer 1'' 25mm M600 Grey,Fabrikam,Grey,409.28,890.0,405,Camcorders,4,Cameras and camcorders,2000.0,2008-03-06
819,515050,Male,Luca Klein,Weimar,TH,Freistaat Thüringen,99406,Germany,Europe,1938-10-11,1624024,2,2019-06-12,Not Delivered,22,957,4,EUR,2019-06-12,EUR,0.8832,A. Datum Full Frame Digital Camera X300 Black,A. Datum,Black,76.53,231.0,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
820,403323,Female,Monika Saenger,Georgenthal,TH,Freistaat Thüringen,99886,Germany,Europe,1989-06-21,1533009,1,2019-03-13,Not Delivered,22,387,1,EUR,2019-03-13,EUR,0.8847,Adventure Works Laptop15 M1501 Blue,Adventure Works,Blue,321.44,699.0,301,Laptops,3,Computers,2000.0,2008-03-06
821,569079,Male,Dennis Busch,Jena,TH,Freistaat Thüringen,7708,Germany,Europe,1936-04-28,1828054,1,2020-01-02,Not Delivered,22,387,2,EUR,2020-01-02,EUR,0.8934,Adventure Works Laptop15 M1501 Blue,Adventure Works,Blue,321.44,699.0,301,Laptops,3,Computers,2000.0,2008-03-06
822,481077,Male,Leon König,Schmelz,TH,Freistaat Thüringen,66839,Germany,Europe,1939-09-28,1646025,4,2019-07-04,Not Delivered,22,1198,3,EUR,2019-07-04,EUR,0.8859,Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Grey,Fabrikam,Grey,209.54,411.0,405,Camcorders,4,Cameras and camcorders,2000.0,2008-03-06
823,542584,Female,Kathrin Schroeder,Lichte,TH,Freistaat Thüringen,98739,Germany,Europe,1966-04-03,1708033,3,2019-09-04,Not Delivered,22,1331,7,EUR,2019-09-04,EUR,0.9076,Contoso Phone System Accessory Handset with Charger M308 Black,Contoso,Black,12.41,26.99,501,Home & Office Phones,5,Cell phones,2000.0,2008-03-06
824,542584,Female,Kathrin Schroeder,Lichte,TH,Freistaat Thüringen,98739,Germany,Europe,1966-04-03,1708033,4,2019-09-04,Not Delivered,22,1694,6,EUR,2019-09-04,EUR,0.9076,SV Hand Games women M40 Black,Southridge Video,Black,4.08,8.88,701,Boxed Games,7,Games and Toys,2000.0,2008-03-06
825,515050,Male,Luca Klein,Weimar,TH,Freistaat Thüringen,99406,Germany,Europe,1938-10-11,1459064,3,2018-12-29,Not Delivered,22,1086,6,EUR,2018-12-29,EUR,0.8731,Contoso SLR Camera M143 Grey,Contoso,Grey,139.8,304.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2008-03-06
826,435228,Male,Jens Faust,Suhl,TH,Freistaat Thüringen,98527,Germany,Europe,1937-01-12,1265006,2,2018-06-18,Not Delivered,22,27,2,EUR,2018-06-18,EUR,0.8611,Contoso 16GB Mp5 Player M1600 White,Contoso,White,91.93,199.9,101,MP4&MP3,1,Audio,2000.0,2008-03-06
827,423002,Female,Katrin Maier,Steinach,TH,Freistaat Thüringen,96519,Germany,Europe,1948-09-29,1706013,1,2019-09-02,Not Delivered,22,1535,2,EUR,2019-09-02,EUR,0.9117,The Phone Company PDA GPS Phone 3.5 inch M910 Black,The Phone Company,Black,123.24,268.0,504,Smart phones & PDAs,5,Cell phones,2000.0,2008-03-06
828,509010,Male,Jan Junker,Jena,TH,Freistaat Thüringen,7718,Germany,Europe,1992-07-22,1666015,4,2019-07-24,Not Delivered,22,691,3,EUR,2019-07-24,EUR,0.8977,Proseware Slim-Design Fax Machine with Answering System X180 Grey,Proseware,Grey,78.19,236.0,306,"Printers, Scanners & Fax",3,Computers,2000.0,2008-03-06
829,525719,Female,Franziska Kruger,Arnsgereuth,TH,Freistaat Thüringen,7318,Germany,Europe,1987-01-01,1103000,4,2018-01-07,Not Delivered,22,1403,4,EUR,2018-01-07,EUR,0.8302,Contoso Expandable1-Handset Cordless Phone System M207 Grey,Contoso,Grey,21.82,47.44,501,Home & Office Phones,5,Cell phones,2000.0,2008-03-06
830,509010,Male,Jan Junker,Jena,TH,Freistaat Thüringen,7718,Germany,Europe,1992-07-22,1666015,3,2019-07-24,Not Delivered,22,1325,3,EUR,2019-07-24,EUR,0.8977,Contoso Electronic Private Automatic Branch Exchange M90 Black,Contoso,Black,18.39,39.99,501,Home & Office Phones,5,Cell phones,2000.0,2008-03-06
831,532684,Male,Niklas Neustadt,Römhild,TH,Freistaat Thüringen,98628,Germany,Europe,1985-01-27,1735014,1,2019-10-01,Not Delivered,22,1022,1,EUR,2019-10-01,EUR,0.9176,A. Datum Consumer Digital Camera M300 Green,A. Datum,Green,84.84,184.5,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
832,509827,Male,Jürgen Mahler,Neunkirchen,TH,Freistaat Thüringen,66521,Germany,Europe,1987-06-11,1820063,3,2019-12-25,Not Delivered,22,994,1,EUR,2019-12-25,EUR,0.9025,A. Datum Consumer Digital Camera M300 Silver,A. Datum,Silver,84.84,184.5,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
833,484432,Female,Angelika Loewe,Oberhof,TH,Freistaat Thüringen,98557,Germany,Europe,1965-08-20,615007,1,2016-09-06,Not Delivered,22,1302,7,EUR,2016-09-06,EUR,0.8961,Contoso Telephoto Conversion Lens M350 Silver,Contoso,Silver,43.69,95.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,2000.0,2008-03-06
834,466309,Male,Luca Furst,Nonnweiler,TH,Freistaat Thüringen,66616,Germany,Europe,1982-06-05,1589015,2,2019-05-08,Not Delivered,22,1082,1,EUR,2019-05-08,EUR,0.8927,Contoso SLR Camera M143 Silver,Contoso,Silver,139.8,304.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2008-03-06
835,403323,Female,Monika Saenger,Georgenthal,TH,Freistaat Thüringen,99886,Germany,Europe,1989-06-21,1715036,3,2019-09-11,Not Delivered,22,482,5,EUR,2019-09-11,EUR,0.9088,Proseware LCD19W M100 White,Proseware,White,82.32,179.0,304,Monitors,3,Computers,2000.0,2008-03-06
836,594645,Male,Lucas Drescher,Hildburghausen,TH,Freistaat Thüringen,98642,Germany,Europe,2001-02-09,1954016,1,2020-05-07,Not Delivered,22,482,1,EUR,2020-05-07,EUR,0.9274,Proseware LCD19W M100 White,Proseware,White,82.32,179.0,304,Monitors,3,Computers,2000.0,2008-03-06
837,517556,Female,Anna Osterhagen,Teistungen,TH,Freistaat Thüringen,37340,Germany,Europe,1995-06-26,423021,1,2016-02-27,Not Delivered,22,147,2,EUR,2016-02-27,EUR,0.9086,"Adventure Works 52"" LCD HDTV X590 White",Adventure Works,White,960.82,2899.99,201,Televisions,2,TV and Video,2000.0,2008-03-06
838,590960,Male,Stephan Bohm,Dillingen,TH,Freistaat Thüringen,66763,Germany,Europe,1959-08-06,1364015,2,2018-09-25,Not Delivered,22,2033,6,EUR,2018-09-25,EUR,0.8491,Litware Microwave 1.6CuFt M125 Grey,Litware,Grey,82.77,179.99,803,Microwaves,8,Home Appliances,2000.0,2008-03-06
839,493610,Male,Tom König,Illingen,TH,Freistaat Thüringen,66553,Germany,Europe,1949-01-24,1382013,3,2018-10-13,Not Delivered,22,382,1,EUR,2018-10-13,EUR,0.864,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,195.24,382.95,301,Laptops,3,Computers,2000.0,2008-03-06
840,501602,Female,Heike Schwartz,St Wendel,TH,Freistaat Thüringen,66593,Germany,Europe,1961-04-05,1333022,3,2018-08-25,Not Delivered,22,287,2,EUR,2018-08-25,EUR,0.863,Contoso Home Theater System 5.1 Channel M1530 Brown,Contoso,Brown,183.49,399.0,203,Home Theater System,2,TV and Video,2000.0,2008-03-06
841,528022,Female,Anja Walter,Hermsdorf,TH,Freistaat Thüringen,7623,Germany,Europe,1974-02-28,1532011,5,2019-03-12,Not Delivered,22,1135,1,EUR,2019-03-12,EUR,0.8869,"Fabrikam SLR Camera 35"" M358 Blue",Fabrikam,Blue,150.84,328.0,402,Digital SLR Cameras,4,Cameras and camcorders,2000.0,2008-03-06
842,517556,Female,Anna Osterhagen,Teistungen,TH,Freistaat Thüringen,37340,Germany,Europe,1995-06-26,1003003,1,2017-09-29,Not Delivered,22,2162,6,EUR,2017-09-29,EUR,0.847,Adventure Works Coffee Maker 5C E090 Grey,Adventure Works,Grey,75.96,149.0,805,Coffee Machines,8,Home Appliances,2000.0,2008-03-06
843,515050,Male,Luca Klein,Weimar,TH,Freistaat Thüringen,99406,Germany,Europe,1938-10-11,1459064,4,2018-12-29,Not Delivered,22,2236,5,EUR,2018-12-29,EUR,0.8731,WWI Desk Lamp E130 Black,Wide World Importers,Black,40.76,79.95,806,Lamps,8,Home Appliances,2000.0,2008-03-06
844,447988,Female,Lisa Naumann,Gera,TH,Freistaat Thüringen,7546,Germany,Europe,1945-03-25,1874020,4,2020-02-17,Not Delivered,22,566,1,EUR,2020-02-17,EUR,0.9229,Proseware Projector 720p DLP56 Silver,Proseware,Silver,459.4,999.0,305,Projectors & Screens,3,Computers,2000.0,2008-03-06
845,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,595006,6,2016-08-17,Not Delivered,22,780,6,EUR,2016-08-17,EUR,0.8868,Contoso Car power adapter M90 White,Contoso,White,9.17,19.95,308,Computers Accessories,3,Computers,2000.0,2008-03-06
846,579195,Female,Christine Daecher,Andisleben,TH,Freistaat Thüringen,99189,Germany,Europe,1942-10-18,1795045,1,2019-11-30,Not Delivered,22,803,4,EUR,2019-11-30,EUR,0.9106,Contoso ADSL Modem Splitter/Filter X 1 E100 White,Contoso,White,9.13,17.9,308,Computers Accessories,3,Computers,2000.0,2008-03-06
847,570710,Male,Dominik Diederich,Rudolstadt,TH,Freistaat Thüringen,7395,Germany,Europe,1944-04-16,735008,1,2017-01-04,Not Delivered,22,2407,3,EUR,2017-01-04,EUR,0.9581,Proseware Air conditioner 8000BTU M320 Grey,Proseware,Grey,183.94,399.99,807,Air Conditioners,8,Home Appliances,2000.0,2008-03-06
848,458548,Female,Anna Barth,Merzig,TH,Freistaat Thüringen,66663,Germany,Europe,1984-05-28,1812024,3,2019-12-17,Not Delivered,22,247,1,EUR,2019-12-17,EUR,0.8959,Contoso Home Theater System 5.1 Channel M1520 Black,Contoso,Black,155.89,339.0,203,Home Theater System,2,TV and Video,2000.0,2008-03-06
849,458548,Female,Anna Barth,Merzig,TH,Freistaat Thüringen,66663,Germany,Europe,1984-05-28,1812024,4,2019-12-17,Not Delivered,22,1889,4,EUR,2019-12-17,EUR,0.8959,Contoso Washer & Dryer 24in M240 Red,Contoso,Red,836.03,1818.0,801,Washers & Dryers,8,Home Appliances,2000.0,2008-03-06
850,567932,Male,Marcel Dresner,Aschenhausen,TH,Freistaat Thüringen,98634,Germany,Europe,2000-11-04,595006,7,2016-08-17,Not Delivered,22,1202,2,EUR,2016-08-17,EUR,0.8868,Fabrikam Trendsetter 1/3'' 8.5mm X200 Grey,Fabrikam,Grey,330.66,998.0,405,Camcorders,4,Cameras and camcorders,2000.0,2008-03-06
851,435228,Male,Jens Faust,Suhl,TH,Freistaat Thüringen,98527,Germany,Europe,1937-01-12,1032001,1,2017-10-28,Not Delivered,22,969,2,EUR,2017-10-28,EUR,0.8617,A. Datum SLR-like Digital Camera M400 Grey,A. Datum,Grey,90.55,196.9,401,Digital Cameras,4,Cameras and camcorders,2000.0,2008-03-06
852,452441,Male,Michael Dietrich,Neunkirchen,TH,Freistaat Thüringen,66538,Germany,Europe,1989-06-25,1730013,2,2019-09-26,Not Delivered,22,704,2,EUR,2019-09-26,EUR,0.9142,Proseware Laser Jet All in one X300 White,Proseware,White,72.56,219.0,306,"Printers, Scanners & Fax",3,Computers,2000.0,2008-03-06
853,528022,Female,Anja Walter,Hermsdorf,TH,Freistaat Thüringen,7623,Germany,Europe,1974-02-28,1532011,3,2019-03-12,Not Delivered,22,808,6,EUR,2019-03-12,EUR,0.8869,Contoso Rechargeable Battery E100 Grey,Contoso,Grey,6.6,12.95,308,Computers Accessories,3,Computers,2000.0,2008-03-06
854,484432,Female,Angelika Loewe,Oberhof,TH,Freistaat Thüringen,98557,Germany,Europe,1965-08-20,615007,2,2016-09-06,Not Delivered,22,2337,1,EUR,2016-09-06,EUR,0.8961,Litware Chandelier M6015 Grey,Litware,Grey,105.76,229.99,806,Lamps,8,Home Appliances,2000.0,2008-03-06
855,528022,Female,Anja Walter,Hermsdorf,TH,Freistaat Thüringen,7623,Germany,Europe,1974-02-28,953008,1,2017-08-10,Not Delivered,22,2257,3,EUR,2017-08-10,EUR,0.8524,WWI Chandelier M615 Grey,Wide World Importers,Grey,105.76,229.99,806,Lamps,8,Home Appliances,2000.0,2008-03-06
856,844832,Female,Ankje de Kanter,Coevorden,DR,Drenthe,7742 BP,Netherlands,Europe,1977-11-12,385002,2,2016-01-20,Not Delivered,31,53,2,EUR,2016-01-20,EUR,0.9168,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Black,98.07,296.0,104,Recording Pen,1,Audio,1085.0,2012-01-07
857,896276,Female,Ivanka Steenbergen,Emmer-Compascuum,DR,Drenthe,7881 JR,Netherlands,Europe,1954-12-25,1345025,1,2018-09-06,Not Delivered,31,105,7,EUR,2018-09-06,EUR,0.8595,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Pink,52.88,115.0,106,Bluetooth Headphones,1,Audio,1085.0,2012-01-07
858,801203,Female,Firdaous Sarikaya,Erica,DR,Drenthe,7887 TB,Netherlands,Europe,1937-07-17,1826046,2,2019-12-31,Not Delivered,31,1619,5,EUR,2019-12-31,EUR,0.8902,Contoso DVD Player M130 Grey,Contoso,Grey,27.59,59.99,602,Movie DVD,6,"Music, Movies and Audio Books",1085.0,2012-01-07
859,804871,Male,Quincey Videler,Nieuw-Buinen,DR,Drenthe,9521 KA,Netherlands,Europe,1990-04-15,1437018,1,2018-12-07,Not Delivered,31,424,3,EUR,2018-12-07,EUR,0.8794,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,1085.0,2012-01-07
860,844832,Female,Ankje de Kanter,Coevorden,DR,Drenthe,7742 BP,Netherlands,Europe,1977-11-12,385002,1,2016-01-20,Not Delivered,31,424,2,EUR,2016-01-20,EUR,0.9168,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,1085.0,2012-01-07
861,823143,Male,Brecht Lagerwerf,Roden,DR,Drenthe,9301 RS,Netherlands,Europe,1935-08-05,1446005,2,2018-12-16,Not Delivered,31,424,2,EUR,2018-12-16,EUR,0.8861,Adventure Works Desktop PC1.60 ED160 Black,Adventure Works,Black,137.63,269.95,303,Desktops,3,Computers,1085.0,2012-01-07
862,869200,Male,Hai van Luijk,Coevorden,DR,Drenthe,7741 JW,Netherlands,Europe,1943-10-27,1445051,1,2018-12-15,Not Delivered,31,2498,1,EUR,2018-12-15,EUR,0.8861,Contoso Phone Tough Skin Case E140 Black,Contoso,Black,12.09,23.72,505,Cell phones Accessories,5,Cell phones,1085.0,2012-01-07
863,888433,Female,Lammechien Cardinaal,Erm,DR,Drenthe,7843 TA,Netherlands,Europe,1949-11-06,1998006,1,2020-06-20,Not Delivered,31,2498,1,EUR,2020-06-20,EUR,0.8921,Contoso Phone Tough Skin Case E140 Black,Contoso,Black,12.09,23.72,505,Cell phones Accessories,5,Cell phones,1085.0,2012-01-07
864,869200,Male,Hai van Luijk,Coevorden,DR,Drenthe,7741 JW,Netherlands,Europe,1943-10-27,1780020,3,2019-11-15,Not Delivered,31,1595,5,EUR,2019-11-15,EUR,0.9063,SV DVD 60 DVD Storage Binder L20 Red,Southridge Video,Red,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books",1085.0,2012-01-07
865,801203,Female,Firdaous Sarikaya,Erica,DR,Drenthe,7887 TB,Netherlands,Europe,1937-07-17,1826046,1,2019-12-31,Not Delivered,31,1595,3,EUR,2019-12-31,EUR,0.8902,SV DVD 60 DVD Storage Binder L20 Red,Southridge Video,Red,7.58,22.89,602,Movie DVD,6,"Music, Movies and Audio Books",1085.0,2012-01-07
866,802757,Male,Ferdie Berghorst,Weiteveen,DR,Drenthe,7765 AW,Netherlands,Europe,1981-12-01,1462043,5,2019-01-01,Not Delivered,31,1310,7,EUR,2019-01-01,EUR,0.8734,Contoso Digital Camera/Camcorder USB Cable E324 Silver,Contoso,Silver,14.28,28.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders,1085.0,2012-01-07
867,851066,Female,Dayenne Hengst,Tweede Exloërmond,DR,Drenthe,9571 BN,Netherlands,Europe,1966-09-10,2239015,1,2021-02-16,Not Delivered,31,78,1,EUR,2021-02-16,EUR,0.8235,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Silver,18.65,40.55,106,Bluetooth Headphones,1,Audio,1085.0,2012-01-07
868,802757,Male,Ferdie Berghorst,Weiteveen,DR,Drenthe,7765 AW,Netherlands,Europe,1981-12-01,1462043,3,2019-01-01,Not Delivered,31,1661,5,EUR,2019-01-01,EUR,0.8734,MGS Hand Games for kids E300 Yellow,Tailspin Toys,Yellow,2.8,5.5,701,Boxed Games,7,Games and Toys,1085.0,2012-01-07
869,804871,Male,Quincey Videler,Nieuw-Buinen,DR,Drenthe,9521 KA,Netherlands,Europe,1990-04-15,1136002,1,2018-02-09,Not Delivered,31,1620,10,EUR,2018-02-09,EUR,0.8148,Contoso DVD Player M140 Gold,Contoso,Gold,28.05,60.99,602,Movie DVD,6,"Music, Movies and Audio Books",1085.0,2012-01-07
870,823143,Male,Brecht Lagerwerf,Roden,DR,Drenthe,9301 RS,Netherlands,Europe,1935-08-05,1446005,1,2018-12-16,Not Delivered,31,171,1,EUR,2018-12-16,EUR,0.8861,SV 16xDVD E340 Black,Southridge Video,Black,45.53,99.0,202,VCD & DVD,2,TV and Video,1085.0,2012-01-07
